endDate,id,issn,startDate,state,title,troveUrl,num_operating_years
1954-12-31,378,13295950,1909-01-01,Queensland,"Queensland Times (Ipswich, Qld. : 1909 - 1954)",https://trove.nla.gov.au/ndp/del/title/378,45
1908-12-31,377,22007474,1861-10-08,Queensland,"Queensland Times, Ipswich Herald and General Advertiser (Qld. : 1861 - 1908)",https://trove.nla.gov.au/ndp/del/title/377,47
1878-01-01,91,1837378X,1872-01-02,Queensland,Rockhampton Bulletin (Qld. : 1871 - 1878),https://trove.nla.gov.au/ndp/del/title/91,6
1871-12-30,92,18373798,1861-07-09,Queensland,Rockhampton Bulletin and Central Queensland Advertiser (Qld. : 1861 - 1871),https://trove.nla.gov.au/ndp/del/title/92,10
1954-12-29,672,22023992,1929-01-05,Queensland,"South Coast Bulletin (Southport, Qld. : 1929 - 1954)",https://trove.nla.gov.au/ndp/del/title/672,25
1954-12-31,1211,22062149,1952-09-13,Queensland,"South Coast News (Southport, Qld. : 1952 - 1954)",https://trove.nla.gov.au/ndp/del/title/1211,2
1891-12-26,1212,22061835,1888-01-14,Queensland,"Southern Queensland Bulletin (Southport, Qld. : 1888 - 1891)",https://trove.nla.gov.au/ndp/del/title/1212,3
1893-09-23,1209,22062173,1893-09-23,Queensland,Southport and Nerang Bulletin (Qld. : 1893),https://trove.nla.gov.au/ndp/del/title/1209,0
1954-12-26,375,13225243,1926-10-03,Queensland,"Sunday Mail (Brisbane, Qld. : 1926 - 1954)",https://trove.nla.gov.au/ndp/del/title/375,28
1955-12-30,1064,22051384,1908-10-10,Queensland,The Beaudesert Times (Qld. : 1908 - 1954),https://trove.nla.gov.au/ndp/del/title/1064,47
1942-01-30,1208,22061746,1929-02-23,Queensland,"The Border Star (Coolangatta, Qld. : 1929 - 1942)",https://trove.nla.gov.au/ndp/del/title/1208,13
1933-08-31,16,18335551,1864-04-11,Queensland,The Brisbane Courier (Qld. : 1864 - 1933),https://trove.nla.gov.au/ndp/del/title/16,69
1925-06-30,1071,22051678,1917-12-12,Queensland,The Bundaberg Mail (Qld. : 1917 - 1925),https://trove.nla.gov.au/ndp/del/title/1071,8
1917-12-11,1070,22051651,1892-12-12,Queensland,The Bundaberg Mail and Burnett Advertiser (Qld. : 1892 - 1917),https://trove.nla.gov.au/ndp/del/title/1070,25
1929-12-26,186,18389775,1875-01-02,Queensland,"The Capricornian (Rockhampton, Qld. : 1875 - 1929)",https://trove.nla.gov.au/ndp/del/title/186,54
1956-11-29,187,18389783,1930-01-02,Queensland,"The Central Queensland Herald (Rockhampton, Qld. : 1930 - 1956)",https://trove.nla.gov.au/ndp/del/title/187,26
1898-11-26,340,22003916,1896-05-16,Queensland,The Charleville Courier (Qld. : 1896 - 1898),https://trove.nla.gov.au/ndp/del/title/340,2
1954-12-30,274,18397824,1896-05-16,Queensland,"The Charleville Times (Brisbane, Qld. : 1896 - 1954)",https://trove.nla.gov.au/ndp/del/title/274,58
1926-09-13,1207,2206172X,1926-09-13,Queensland,The Coolangatta Chronicle (Qld. : 1926),https://trove.nla.gov.au/ndp/del/title/1207,0
1864-04-09,15,18335578,1861-05-14,Queensland,"The Courier (Brisbane, Qld. : 1861 - 1864)",https://trove.nla.gov.au/ndp/del/title/15,3
1954-12-31,12,13225235,1933-08-28,Queensland,"The Courier-Mail (Brisbane, Qld. : 1933 - 1954)",https://trove.nla.gov.au/ndp/del/title/12,21
1926-10-31,1058,22051619,1903-10-03,Queensland,"The Daily Mail (Brisbane, Qld. : 1903 - 1926)",https://trove.nla.gov.au/ndp/del/title/1058,23
1896-12-31,1069,2205118X,1875-01-01,Queensland,"The Daily Northern Argus (Rockhampton, Qld. : 1875 - 1896)",https://trove.nla.gov.au/ndp/del/title/1069,21
1954-12-31,1063,1446134X,1910-05-14,Queensland,The Dalby Herald (Qld. : 1910 - 1954),https://trove.nla.gov.au/ndp/del/title/1063,44
1880-12-22,257,18396755,1858-06-10,Queensland,"The Darling Downs Gazette and General Advertiser (Toowoomba, Qld. : 1858 - 1880)",https://trove.nla.gov.au/ndp/del/title/257,22
1954-12-31,1061,22051554,1941-05-19,Queensland,"The Evening Advocate (Innisfail, Qld. : 1941 - 1954)",https://trove.nla.gov.au/ndp/del/title/1061,13
1941-07-31,943,22046437,1924-10-01,Queensland,"The Evening News (Rockhampton, Qld. : 1924 - 1941)",https://trove.nla.gov.au/ndp/del/title/943,17
1921-08-10,1067,22051279,1901-03-04,Queensland,"The Evening Telegraph (Charters Towers, Qld. : 1901 - 1921)",https://trove.nla.gov.au/ndp/del/title/1067,20
1919-12-01,679,22025146,1918-12-20,Queensland,"The Leader (Brisbane, Qld. : 1918 - 1919)",https://trove.nla.gov.au/ndp/del/title/679,1
1954-12-31,102,18373054,1923-01-05,Queensland,The Longreach Leader (Qld. : 1923 - 1954),https://trove.nla.gov.au/ndp/del/title/102,31
1861-05-11,14,1833556X,1846-06-20,Queensland,"The Moreton Bay Courier (Brisbane, Qld. : 1846 - 1861)",https://trove.nla.gov.au/ndp/del/title/14,15
1865-03-25,264,18397050,1863-09-15,Queensland,"The North Australian (Brisbane, Qld. : 1863 - 1865)",https://trove.nla.gov.au/ndp/del/title/264,2
1862-04-29,262,18396801,1856-01-01,Queensland,"The North Australian, Ipswich and General Advertiser (Ipswich, Qld. : 1856 - 1862)",https://trove.nla.gov.au/ndp/del/title/262,6
1905-12-18,269,1849678X,1892-06-15,Queensland,"The North Queensland Register (Townsville, Qld. : 1892 - 1905)",https://trove.nla.gov.au/ndp/del/title/269,13
1939-12-30,733,22029079,1913-04-11,Queensland,"The Northern Herald (Cairns, Qld. : 1913 - 1939)",https://trove.nla.gov.au/ndp/del/title/733,26
1954-12-30,258,18396763,1874-05-30,Queensland,"The Northern Miner (Charters Towers, Qld. : 1874 - 1954)",https://trove.nla.gov.au/ndp/del/title/258,80
1892-06-08,268,18396771,1891-03-04,Queensland,"The Northern Mining Register (Charters Towers, Qld. : 1891 - 1892)",https://trove.nla.gov.au/ndp/del/title/268,1
1928-08-31,1151,22058869,1928-08-31,Queensland,"The Northern Sportsman (Innisfail, Qld. : 1928)",https://trove.nla.gov.au/ndp/del/title/1151,0
1954-12-24,1213,22061770,1935-02-16,Queensland,The Proserpine Guardian (Qld. : 1935 - 1954),https://trove.nla.gov.au/ndp/del/title/1213,19
1939-02-22,42,18368190,1866-02-03,Queensland,"The Queenslander (Brisbane, Qld. : 1866 - 1939)",https://trove.nla.gov.au/ndp/del/title/42,73
